omp,tex,game_tile_x,game_tile_y,catalog_row_index,annotation
X5\stage\st020\st000.omp,1,70,69,30,
X5\stage\st020\st000.omp,1,55,60,29,
X5\stage\st020\st000.omp,1,140,68,34,
X5\stage\st020\st000.omp,1,28,69,27,
X5\stage\st020\st000.omp,2,,,,
X5\stage\st020\st000.omp,2,,,,
X5\stage\st020\st000.omp,2,,,,
X5\stage\st020\st000.omp,2,,,,
X5\stage\st020\st020.omp,1,0,28,4,floor lights
X5\stage\st020\st020.omp,1,306,17,22,spikes
X5\stage\st020\st020.omp,1,332,27,23,last platform left
X5\stage\st020\st020.omp,1,339,27,24,last platform right
