game,stage,col,col_animate,ocl,tex,tex256,texch3
5,stage/st000/st000.omp,col/stage/col00_0x_eng.col,col/stage/st0_0.col,stage/st000/st000.ocl,stage/st000/st000.tex,stage/st000_chr256/st000_chr256.tex,stage/st000_ch3/st000_ch3.tex
5,stage/st010/st010.omp,col/stage/col01_0x_eng.col,col/stage/st1_0.col,stage/st010/st010.ocl,stage/st010/st010.tex,stage/st010_chr256/st010_chr256.tex,
5,stage/st020/st020.omp,col/stage/col02_0x_eng.col,col/stage/st2_0.col,stage/st020/st020.ocl,stage/st020/st020.tex,,
5,stage/st021/st021.omp,col/stage/col02_1x_eng.col,col/stage/st2_1.col,stage/st021/st021.ocl,stage/st021/st021.tex,stage/st021_chr256/st021_chr256.tex,
5,stage/st030/st030.omp,col/stage/col03_0x_eng.col,col/stage/st3_0.col,stage/st030/st030.ocl,stage/st030/st030.tex,stage/st030_chr256/st030_chr256.tex,
5,stage/st040/st040.omp,col/stage/col04_0x_eng.col,col/stage/st4_0.col,stage/st040/st040.ocl,stage/st040/st040.tex,stage/st040_chr256/st040_chr256.tex,
5,stage/st041/st041.omp,col/stage/col04_1x_eng.col,col/stage/st4_1.col,stage/st041/st041.ocl,stage/st041/st041.tex,stage/st041_chr256/st041_chr256.tex,
5,stage/st050/st050.omp,col/stage/col05_0x_eng.col,col/stage/st5_0.col,stage/st050/st050.ocl,stage/st050/st050.tex,stage/st050_chr256/st050_chr256.tex,
5,stage/st060/st060.omp,col/stage/col06_0x_eng.col,col/stage/st6_0.col,stage/st060/st060.ocl,stage/st060/st060.tex,,
5,stage/st061/st061.omp,col/stage/col06_1x_eng.col,,stage/st061/st061.ocl,stage/st061/st061.tex,stage/st061_chr256/st061_chr256.tex,
5,stage/st070/st070.omp,col/stage/col07_0x_eng.col,col/stage/st7_0.col,stage/st070/st070.ocl,stage/st070/st070.tex,stage/st070_chr256/st070_chr256.tex,
5,stage/st080/st080.omp,col/stage/col08_0x_eng.col,col/stage/st8_0.col,stage/st080/st080.ocl,stage/st080/st080.tex,stage/st080_chr256/st080_chr256.tex,
5,stage/st090_00/st090_00.omp,col/stage/col09_0x_eng.col,col/stage/st9_0.col,stage/st090_00/st090_00.ocl,stage/st090_00/st090_00.tex,,
5,stage/st090_01/st090_01.omp,col/stage/col09_bx_eng.col,,stage/st090_01/st090_01.ocl,stage/st090_01/st090_01.tex,,
5,stage/st100_00/st100_00.omp,col/stage/col0a_0x_eng.col,col/stage/sta_0.col,stage/st100_00/st100_00.ocl,stage/st100_00/st100_00.tex,,
5,stage/st100_01/st100_01.omp,col/stage/col0a_bx_eng.col,,stage/st100_01/st100_01.ocl,stage/st100_01/st100_01.tex,,
5,stage/st120/st120.omp,col/stage/col0c_0x_eng.col,col/stage/stc_0.col,stage/st120/st120.ocl,stage/st120/st120.tex,stage/st120_chr256/st120_chr256.tex,
5,stage/st130/st130.omp,col/stage/col0d_00_eng.col,,stage/st130/st130.ocl,stage/st130/st130.tex,,
5,stage/st140_eng/st140_eng.omp,col/stage/col0e_00_eng.col,,stage/st140_eng/st140_eng.ocl,stage/st140_eng/st140_eng.tex,,
5,stage/st141_eng/st141_eng.omp,col/stage/col0e_01_eng.col,,stage/st141_eng/st141_eng.ocl,stage/st141_eng/st141_eng.tex,,
5,stage/st150/st150.omp,col/stage/col0f_00_eng.col,,stage/st150/st150.ocl,stage/st150/st150.tex,,
5,stage/st160/st160.omp,col/stage/col0g_0x_eng.col,col/stage/stg_0.col,stage/st160/st160.ocl,stage/st160/st160.tex,stage/st160_chr256/st160_chr256.tex,
5,stage/st170/st170.omp,col/stage/col0h_0x_eng.col,col/stage/sth_0.col,stage/st170/st170.ocl,stage/st170/st170.tex,,stage/st170_ch3/st170_ch3.tex
5,stage/st180/st180.omp,col/stage/col0i_0x_eng.col,col/stage/sti_0.col,stage/st180/st180.ocl,stage/st180/st180.tex,,
5,stage/st220/st220.omp,col/stage/col0m_0x_eng.col,col/stage/stm_0.col,stage/st220/st220.ocl,stage/st220/st220.tex,,
5,stage/staff_eng/staff_eng.omp,col/stage/col0f_01_eng.col,,stage/staff_eng/staff_eng.ocl,stage/staff_eng/staff_eng.tex,stage/staff_eng_chr256/staff_eng_chr256.tex,
6,stage/map/st00.omp,stage/col/eng/col00_0x.col,col/stage/st00/st00.col,stage/cel/st00.ocl,stage/dds/st00.tex,stage/dds/st00_chr256.tex,
6,stage/map/st01.omp,stage/col/eng/col01_0x.col,col/stage/st01/st01.col,stage/cel/st01.ocl,stage/dds/st01.tex,stage/dds/st01_chr256.tex,
