omp_file,omp_tile_x,omp_tile_y,tex_file,tex_x,tex_y
PC\X6\stage\map\st00.omp,72,51,PC\X6\stage\dds\st00.tex,18,11
PC\X6\stage\map\st00.omp,73,51,PC\X6\stage\dds\st00.tex,19,11
PC\X6\stage\map\st00.omp,74,51,PC\X6\stage\dds\st00.tex,20,11
PC\X6\stage\map\st00.omp,75,51,PC\X6\stage\dds\st00.tex,21,11
PC\X6\stage\map\st00.omp,72,52,PC\X6\stage\dds\st00.tex,18,12
PC\X6\stage\map\st00.omp,73,52,PC\X6\stage\dds\st00.tex,19,12
PC\X6\stage\map\st00.omp,74,52,PC\X6\stage\dds\st00.tex,20,12
PC\X6\stage\map\st00.omp,75,52,PC\X6\stage\dds\st00.tex,21,12
PC\X6\stage\map\st00.omp,72,53,PC\X6\stage\dds\st00.tex,18,13
PC\X6\stage\map\st00.omp,73,53,PC\X6\stage\dds\st00.tex,19,13
PC\X6\stage\map\st00.omp,74,53,PC\X6\stage\dds\st00.tex,20,13
PC\X6\stage\map\st00.omp,75,53,PC\X6\stage\dds\st00.tex,21,13
PC\X6\stage\map\st00.omp,72,54,PC\X6\stage\dds\st00.tex,18,14
PC\X6\stage\map\st00.omp,73,54,PC\X6\stage\dds\st00.tex,19,14
PC\X6\stage\map\st00.omp,74,54,PC\X6\stage\dds\st00.tex,20,14
PC\X6\stage\map\st00.omp,75,54,PC\X6\stage\dds\st00.tex,21,14
PC\X6\stage\map\st00.omp,103,54,PC\X6\stage\dds\st00.tex,42,9
PC\X6\stage\map\st00.omp,104,54,PC\X6\stage\dds\st00.tex,43,9
PC\X6\stage\map\st00.omp,105,54,PC\X6\stage\dds\st00.tex,44,9
PC\X6\stage\map\st00.omp,106,54,PC\X6\stage\dds\st00.tex,45,9
PC\X6\stage\map\st00.omp,107,54,PC\X6\stage\dds\st00.tex,46,9
PC\X6\stage\map\st00.omp,103,55,PC\X6\stage\dds\st00.tex,34,10
PC\X6\stage\map\st00.omp,104,55,PC\X6\stage\dds\st00.tex,35,10
PC\X6\stage\map\st00.omp,105,55,PC\X6\stage\dds\st00.tex,36,10
PC\X6\stage\map\st00.omp,106,55,PC\X6\stage\dds\st00.tex,37,10
PC\X6\stage\map\st00.omp,107,55,PC\X6\stage\dds\st00.tex,38,10
