omp_file,omp_x,omp_y,tex_file,tex_x,tex_y,col,clut
PC\X5\stage\st000\st000.omp,3,69,PC\X5\stage\st000\st000.tex,19,13,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,4,69,PC\X5\stage\st000\st000.tex,20,13,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,5,69,PC\X5\stage\st000\st000.tex,21,13,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,3,70,PC\X5\stage\st000\st000.tex,19,14,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,4,70,PC\X5\stage\st000\st000.tex,20,14,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,5,70,PC\X5\stage\st000\st000.tex,21,14,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,14,69,PC\X5\stage\st000\st000.tex,30,13,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,15,69,PC\X5\stage\st000\st000.tex,31,13,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,14,70,PC\X5\stage\st000\st000.tex,30,14,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,15,70,PC\X5\stage\st000\st000.tex,31,14,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,2,68,PC\X5\stage\st000\st000.tex,18,12,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,7,68,PC\X5\stage\st000\st000.tex,22,12,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,12,68,PC\X5\stage\st000\st000.tex,28,12,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,7,70,PC\X5\stage\st000\st000.tex,23,14,PC\X5\col\stage\col00_0x.col,90
PC\X5\stage\st000\st000.omp,11,72,PC\X5\stage\st000\st000.tex,36,0,PC\X5\col\stage\col00_0x.col,91
PC\X5\stage\st000\st000.omp,12,72,PC\X5\stage\st000\st000.tex,37,0,PC\X5\col\stage\col00_0x.col,91
PC\X5\stage\st000\st000.omp,13,72,PC\X5\stage\st000\st000.tex,38,0,PC\X5\col\stage\col00_0x.col,91
PC\X5\stage\st000\st000.omp,14,72,PC\X5\stage\st000\st000.tex,39,0,PC\X5\col\stage\col00_0x.col,91
PC\X5\stage\st000\st000.omp,15,72,PC\X5\stage\st000\st000.tex,40,0,PC\X5\col\stage\col00_0x.col,91
PC\X5\stage\st000\st000.omp,72,68,PC\X5\stage\st000\st000.tex,55,1,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,73,68,PC\X5\stage\st000\st000.tex,56,1,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,74,68,PC\X5\stage\st000\st000.tex,57,1,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,75,68,PC\X5\stage\st000\st000.tex,58,1,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,76,68,PC\X5\stage\st000\st000.tex,59,1,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,72,69,PC\X5\stage\st000\st000.tex,55,2,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,73,69,PC\X5\stage\st000\st000.tex,56,2,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,74,69,PC\X5\stage\st000\st000.tex,57,2,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,75,69,PC\X5\stage\st000\st000.tex,58,2,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,76,69,PC\X5\stage\st000\st000.tex,59,2,PC\X5\col\stage\col00_0x.col,67
PC\X5\stage\st000\st000.omp,0,63,PC\X5\stage\st000\st000.tex,17,5,PC\X5\col\stage\col00_0x.col,89
PC\X5\stage\st000\st000.omp,1,63,PC\X5\stage\st000\st000.tex,18,5,PC\X5\col\stage\col00_0x.col,89
PC\X5\stage\st000\st000.omp,2,63,PC\X5\stage\st000\st000.tex,19,5,PC\X5\col\stage\col00_0x.col,89
PC\X5\stage\st000\st000.omp,3,63,PC\X5\stage\st000\st000.tex,20,5,PC\X5\col\stage\col00_0x.col,89
PC\X5\stage\st000\st000.omp,4,63,PC\X5\stage\st000\st000.tex,21,5,PC\X5\col\stage\col00_0x.col,89
PC\X5\stage\st000\st000.omp,5,63,PC\X5\stage\st000\st000.tex,22,5,PC\X5\col\stage\col00_0x.col,89
PC\X5\stage\st000\st000.omp,141,64,PC\X5\stage\st000\st000.tex,55,15,PC\X5\col\stage\col00_0x.col,68
